t,r,eps,h,z
0,0.0055329424,0.0055329424,0.0000111609,1.6561735659
1,0.0003974635,0.0003974635,0.0000101690,0.1246400470
2,-0.0003973636,-0.0003973636,0.0000095248,-0.1287536919
3,-0.0022542637,-0.0022542637,0.0000092266,-0.7421354796
4,0.0047342343,0.0047342343,0.0000097815,1.5137281366
5,0.0033025265,0.0033025265,0.0000089542,1.1036512712
6,-0.0013941667,-0.0013941667,0.0000081682,-0.4878107939
7,0.0013520053,0.0013520053,0.0000084386,0.4654176741
8,-0.0017811724,-0.0017811724,0.0000078715,-0.6348601523
9,-0.0000318522,-0.0000318522,0.0000083491,-0.0110234877
10,-0.0010497078,-0.0010497078,0.0000081060,-0.3686933237
11,-0.0024408796,-0.0024408796,0.0000082441,-0.8501117332
12,-0.0023725194,-0.0023725194,0.0000090062,-0.7905686221
13,-0.0013095774,-0.0013095774,0.0000096487,-0.4215964702
14,-0.0018375507,-0.0018375507,0.0000096939,-0.5901868974
15,0.0025040480,0.0025040480,0.0000099808,0.7926113226
16,0.0036637867,0.0036637867,0.0000090061,1.2208490462
17,-0.0025243295,-0.0025243295,0.0000082268,-0.8800950516
18,0.0001360996,0.0001360996,0.0000090355,0.0452774283
19,0.0004034334,0.0004034334,0.0000086402,0.1372495627
20,0.0025597218,0.0025597218,0.0000082337,0.8920630775
21,-0.0095473916,-0.0095473916,0.0000075917,-3.4650848795
22,0.0014912110,0.0014912110,0.0000146412,0.3897179566
23,-0.0026128078,-0.0026128078,0.0000129856,-0.7250633295
24,0.0004945679,0.0004945679,0.0000133207,0.1355073737
25,-0.0032806768,-0.0032806768,0.0000121543,-0.9410195339
26,0.0011762370,0.0011762370,0.0000130130,0.3260660760
27,-0.0050839669,-0.0050839669,0.0000117059,-1.4859340051
28,-0.0013988919,-0.0013988919,0.0000139818,-0.3741126698
29,0.0026582747,0.0026582747,0.0000135055,0.7233443732
30,-0.0006699429,-0.0006699429,0.0000118561,-0.1945663284
31,-0.0003280108,-0.0003280108,0.0000113308,-0.0974447510
32,0.0022292074,0.0022292074,0.0000107469,0.6799985454
33,-0.0014642171,-0.0014642171,0.0000096526,-0.4712851841
34,-0.0011697894,-0.0011697894,0.0000097668,-0.3743100554
35,0.0022217399,0.0022217399,0.0000097358,0.7120455739
36,-0.0026829213,-0.0026829213,0.0000088290,-0.9029265705
37,-0.0010266605,-0.0010266605,0.0000096617,-0.3302929152
38,0.0031473343,0.0031473343,0.0000095843,1.0166294855
39,0.0037494205,0.0037494205,0.0000086676,1.2735483284
40,0.0030121690,0.0030121690,0.0000079665,1.0672002596
41,-0.0006815150,-0.0006815150,0.0000073750,-0.2509543749
42,0.0026243721,0.0026243721,0.0000074770,0.9597553211
43,-0.0017296091,-0.0017296091,0.0000069822,-0.6545617324
44,-0.0008173223,-0.0008173223,0.0000075415,-0.2976214228
45,0.0027459330,0.0027459330,0.0000076681,0.9916194287
46,0.0010576539,0.0010576539,0.0000071345,0.3959685669
47,-0.0030396105,-0.0030396105,0.0000068378,-1.1624126078
48,-0.0024632666,-0.0024632666,0.0000080689,-0.8671695535
49,0.0013889130,0.0013889130,0.0000088617,0.4665705239
50,0.0019911551,0.0019911551,0.0000082154,0.6946889757
51,0.0049835102,0.0049835102,0.0000076106,1.8064474808
52,0.0020705062,0.0020705062,0.0000073360,0.7644473167
53,0.0005079300,0.0005079300,0.0000068891,0.1935180785
54,0.0004421512,0.0004421512,0.0000067353,0.1703691215
55,-0.0020239071,-0.0020239071,0.0000066201,-0.7866097040
56,0.0027199722,0.0027199722,0.0000073526,1.0030987719
57,-0.0024129902,-0.0024129902,0.0000068821,-0.9198040944
58,-0.0033545578,-0.0033545578,0.0000077739,-1.2031373307
59,-0.0028308190,-0.0028308190,0.0000091058,-0.9381086703
60,0.0004900095,0.0004900095,0.0000099948,0.1549947058
61,-0.0017839866,-0.0017839866,0.0000093527,-0.5833420002
62,0.0033848640,0.0033848640,0.0000096545,1.0893722232
63,0.0022381531,0.0022381531,0.0000087275,0.7576104340
64,-0.0007250253,-0.0007250253,0.0000080076,-0.2562134213
65,-0.0006831258,-0.0006831258,0.0000080379,-0.2409511814
66,-0.0008483761,-0.0008483761,0.0000080492,-0.2990275591
67,-0.0000296951,-0.0000296951,0.0000081185,-0.0104218781
68,-0.0021740636,-0.0021740636,0.0000079093,-0.7730444539
69,0.0054572081,0.0054572081,0.0000085706,1.8640799447
70,-0.0051200586,-0.0051200586,0.0000081764,-1.7905753752
71,-0.0000521629,-0.0000521629,0.0000107248,-0.0159282309
72,-0.0054893425,-0.0054893425,0.0000101333,-1.7244284838
73,0.0008307764,0.0008307764,0.0000128673,0.2316005562
74,0.0007510497,0.0007510497,0.0000116737,0.2198181373
75,-0.0018188550,-0.0018188550,0.0000106943,-0.5561888915
76,-0.0021310731,-0.0021310731,0.0000108504,-0.6469584921
77,0.0039912263,0.0039912263,0.0000111518,1.1951790017
78,0.0004765215,0.0004765215,0.0000099427,0.1511227673
79,0.0018650845,0.0018650845,0.0000093124,0.6111777324
80,-0.0001752184,-0.0001752184,0.0000085203,-0.0600277233
81,0.0020941528,0.0020941528,0.0000082950,0.7271121913
82,0.0046447198,0.0046447198,0.0000076668,1.6774559013
83,0.0017709081,0.0017709081,0.0000073094,0.6550203939
84,0.0024642777,0.0024642777,0.0000068910,0.9387452682
85,0.0010755577,0.0010755577,0.0000065141,0.4214112354
86,0.0015222241,0.0015222241,0.0000063203,0.6054926716
87,-0.0010883955,-0.0010883955,0.0000061054,-0.4404819735
88,0.0018718650,0.0018718650,0.0000065178,0.7332031298
89,0.0007399409,0.0007399409,0.0000062374,0.2962744573
90,0.0000681079,0.0000681079,0.0000061444,0.0274762994
91,-0.0039082996,-0.0039082996,0.0000062061,-1.5688415380
92,-0.0008022453,-0.0008022453,0.0000080125,-0.2834143968
93,0.0023205513,0.0023205513,0.0000080699,0.8168762234
94,-0.0020786718,-0.0020786718,0.0000074695,-0.7605729277
95,-0.0008759767,-0.0008759767,0.0000081332,-0.3071578797
96,-0.0028764165,-0.0028764165,0.0000082014,-1.0044018651
97,-0.0003098459,-0.0003098459,0.0000092086,-0.1021052376
98,-0.0044747205,-0.0044747205,0.0000089262,-1.4977295156
99,-0.0008061063,-0.0008061063,0.0000109253,-0.2438797289
100,-0.0038721114,-0.0038721114,0.0000105854,-1.1901272548
101,-0.0015710442,-0.0015710442,0.0000120071,-0.4533875292
102,0.0072655864,0.0072655864,0.0000118738,2.1085089388
103,-0.0041840776,-0.0041840776,0.0000112286,-1.2486402883
104,-0.0021212155,-0.0021212155,0.0000128217,-0.5923966847
105,0.0015044923,0.0015044923,0.0000128829,0.4191625266
106,-0.0012277414,-0.0012277414,0.0000115237,-0.3616691490
107,0.0047925682,0.0047925682,0.0000112873,1.4265072031
108,-0.0014532705,-0.0014532705,0.0000101325,-0.4565504109
109,0.0041152873,0.0041152873,0.0000101808,1.2897608822
110,-0.0004706094,-0.0004706094,0.0000091874,-0.1552618441
111,0.0004833777,0.0004833777,0.0000089630,0.1614582188
112,0.0018486342,0.0018486342,0.0000084855,0.6346174077
113,-0.0014907795,-0.0014907795,0.0000078451,-0.5322498065
114,0.0018905183,0.0018905183,0.0000081970,0.6603197454
115,0.0019467794,0.0019467794,0.0000076049,0.7059452836
116,0.0000866548,0.0000866548,0.0000071168,0.0324826122
117,0.0028924704,0.0028924704,0.0000070265,1.0911865675
118,0.0017274072,0.0017274072,0.0000066241,0.6711664903
119,0.0004458842,0.0004458842,0.0000063351,0.1771514413
120,-0.0035883967,-0.0035883967,0.0000062826,-1.4316339283
